uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
,,,,,,,,,,,
Sırma (Soda-Su),icecekler,Meyveli Maden Suları,,,,,,Sırma B Vitaminli Çilekli Maden Suyu 6x200 ml,,https://www.cagri.com/Uploads/UrunResimleri/thumb/sirma-b-vitaminli-cilekli-maden-suyu-6x2-6365.jpg,https://www.cagri.com/sirma-b-vitaminli-cilekli-maden-suyu-6x200-ml-11616
Sırma (Soda-Su),icecekler,Meyveli Maden Suları,,,,,,Sırma B Vitaminli Çilekli Maden Suyu 200 ml,,https://www.cagri.com/Uploads/UrunResimleri/thumb/sirma-b-vitaminli-cilekli-maden-suyu-200-5749.jpg,https://www.cagri.com/sirma-b-vitaminli-cilekli-maden-suyu-200-ml-11618
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 1 lt,,https://www.cagri.com/Uploads/UrunResimleri/thumb/coca-cola-1-lt-198c.jpg,https://www.cagri.com/coca-cola-1-lt
Saka,icecekler,Sade Maden Suları,,,,,,Saka Maden Suyu Sade 200 ml,,https://www.cagri.com/Uploads/UrunResimleri/thumb/saka-maden-suyu-sade-200-ml-205c.jpg,https://www.cagri.com/saka-maden-suyu-sade-200-ml-11861
Red Bull,icecekler,Enerji İçecekleri,,,,,,Red Bull Enerji İçeceği 250 ml,,https://www.cagri.com/Uploads/UrunResimleri/thumb/red-bull-enerji-icecegi-250-ml-44d9.jpg,https://www.cagri.com/red-bull-enerji-icecegi-250-ml
Burn,icecekler,Enerji İçecekleri,,,,,,Burn Enerji İçeceği Kutu 250 ml,,https://www.cagri.com/Uploads/UrunResimleri/thumb/burn-enerji-icecegi-kutu-250-ml-bbc1.jpg,https://www.cagri.com/burn-enerji-icecegi-kutu-250-ml
Red Bull,icecekler,Enerji İçecekleri,,,,,,Red Bull Enerji İçeceği 4x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/red-bull-enerji-icecegi-4x250-ml
Burn,icecekler,Enerji İçecekleri,,,,,,Burn Enerji İçeceği 4x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/burn-enerji-icecegi-4x250-ml
Red Bull,icecekler,Enerji İçecekleri,,,,,,Red Bull Enerji İçeceği Sugarfree 250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/red-bull-enerji-icecegi-sugarfree-250-ml
Red Bull,icecekler,Enerji İçecekleri,,,,,,Red Bull Enerji İçeceği 473 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/red-bull-enerji-icecegi-473-ml
