uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
,,,,,,,,,,,
Micro,"Ev, Ofis, Teknoloji","Ofis Klasör, Dosya",Kırtasiye & Oyuncak,"Ofis Klasör, Dosya",,,,Mı̇kro Ps-20 Pastel Sunum Dosyası,,https://img.istegelsin.com/76c541bc7746414eb0657b1c9df77547.jpg,
Cassa,"Ev, Ofis, Teknoloji",Masaüstü Gereçleri,Kırtasiye & Oyuncak,Masaüstü Gereçleri,,,,Cassa 8285 Toplu İğne Nikel Kaplı 50 gr,,https://img.istegelsin.com/5e344eef5db14ac6a956b0d3bad9e7ec.jpg,
Leitz,"Ev, Ofis, Teknoloji","Ofis Klasör, Dosya",Kırtasiye & Oyuncak,"Ofis Klasör, Dosya",,,,Leitz A5 Delikli Şeffaf Dosya 50'li Paket,,https://img.istegelsin.com/e9a2cf22681647a0b36385e7c8a5e043.jpg,
Micro,Kırtasiye & Oyuncak,Ölçü ve Çizim Malzemeleri,,,,,,Mı̇kro Flp-04 Esnek Cetvel 4'lü Pergellı̇ Çı̇zı̇m Setı̇,,https://img.istegelsin.com/aef09409bc244d18a35b1131f4acc8bd.jpg,
Micro,Kırtasiye & Oyuncak,Fosforlu Kalem,,,,,,Aihao Fosforlu Kalem,,https://img.istegelsin.com/eb1edb2b613349d9be81c81e6fd86b79.jpg,
Kodak,"Ev, Ofis, Teknoloji","Fotokopi, Eti̇ket, Kağıt",Kırtasiye & Oyuncak,"Fotokopi, Eti̇ket, Kağıt",,,,Kodak A4 Fotokopi Kağıdı 80 gr 500'lü,,https://img.istegelsin.com/72b274f2ab12450a9e7f8ae63581644a.jpg,
Edding,Kırtasiye & Oyuncak,Fosforlu Kalem,,,,,,Edding Fosforlu Kalem PVC Kutu 4+1 Hediye,,https://img.istegelsin.com/8023a8b9c9ba4a7f828c48becbca90dc.jpg,
Bic,Kırtasiye & Oyuncak,"Çanta, Kalemlik, Matara",,,,,,Bic Boyanabilir Kumaş Çanta,,https://img.istegelsin.com/c1ea8ee5bf534d23a8f1f37de77693b9.jpg,
Esselte,"Ev, Ofis, Teknoloji","Ofis Klasör, Dosya",Kırtasiye & Oyuncak,"Ofis Klasör, Dosya",,,,Esselte A4 Eco Delikli Şeffaf Poşet Dosya 100'lü Paket,,https://img.istegelsin.com/9a26bdbdaf6f412da7920d55851c96e7.jpg,
Micro,Kırtasiye & Oyuncak,"Çanta, Kalemlik, Matara",,,,,,Mı̇kro 325 Okul Çantası Mavi,,https://img.istegelsin.com/fcd70c3895224fd58ea7de9986d16c6e.jpg,
Micro,Kırtasiye & Oyuncak,Boya Gereçleri,,,,,,Mı̇kro Mf-Set-110 Fırça Set 10'lu,,https://img.istegelsin.com/394c6d6864384f2abc67514548a9e2f7.jpg,
Micro,Kırtasiye & Oyuncak,Boya Gereçleri,,,,,,Mikro Mf-Set-2 4'lü Sulu Boya Fırçası No:2-4-6-8,,https://img.istegelsin.com/27b8264cd59948eda04a0486183f1143.jpg,
Micro,Kırtasiye & Oyuncak,"Çanta, Kalemlik, Matara",,,,,,Mı̇kro 325 Okul Çantası Mor,,https://img.istegelsin.com/64ae8c7538df4fc88fdce3bacd22bdef.jpg,
Leitz,"Ev, Ofis, Teknoloji","Ofis Klasör, Dosya",Kırtasiye & Oyuncak,"Ofis Klasör, Dosya",,,,Leitz A4 Delikli Şeffaf Poşet Dosya 100'lü Paket,,https://img.istegelsin.com/dc837fa31a61494f9771fd62940f2b5d.jpg,
Edding,Kırtasiye & Oyuncak,Boya Gereçleri,,,,,,Edding Funtastics Cam Boyama Kalemi 5'li Set,,https://img.istegelsin.com/e43dea469dea4d479f675310c2aab199.jpg,
Micro,Kırtasiye & Oyuncak,"Kalem Ucu, Si̇lgi̇, Kalemtraş",,,,,,Mikro 2B-20 3'lü Nano Blisterli Silgi,,https://img.istegelsin.com/7eb6740ff5734dc395f8c5f18782a8c8.jpg,
Edding,Kırtasiye & Oyuncak,"Tükenmez, Jel, Dolma Kalem",,,,,,Edding Tahta Kalemi Mürekkebi 30Ml 2'li Kutu Mavi,,https://img.istegelsin.com/4ec42c67d50e4453954d6adfb9509d2b.jpg,
Micro,Kırtasiye & Oyuncak,Kurşun Kalem,,,,,,Mikro Mp 404P-48 Versatil Kalem 0.7 mm,,https://img.istegelsin.com/9b83b4dffa5a466c88be9e3c4532d258.jpg,
Micro,Kırtasiye & Oyuncak,Kurşun Kalem,,,,,,Mikro Mp 404P-48 Versatil Kalem 0.5 mm,,https://img.istegelsin.com/c267eaf39c094b149aac7cce6f507579.jpg,
Micro,"Ev, Ofis, Teknoloji","Defter, Bloknot",Kırtasiye & Oyuncak,"Defter, Bloknot",,,,Mikro A4 72 YP Çizgili Defter PP Kapaklı ,,https://img.istegelsin.com/9de96b69156f47c793b9135b00094929.jpg,
Micro,Kırtasiye & Oyuncak,"Çanta, Kalemlik, Matara",,,,,,Mı̇kro 325 Okul Çantası Pembe,,https://img.istegelsin.com/5df01426618c4761a54653b0c14bde74.jpg,
Bic,Kırtasiye & Oyuncak,Kurşun Kalem,,,,,,Bic Evolution Fluo Kurşun Kalem 4'lü Blister,,https://img.istegelsin.com/fea36a16131b4ee6b6e4fc58ca54b074.jpg,
